Hotel_Code,count
307,234
214,190
1252,172
33,139
1487,129
537,128
1038,126
1427,118
1294,111
1203,111
1250,106
142,106
807,97
278,95
332,95
693,91
36,89
315,88
1537,88
2206,88
497,88
569,87
1434,86
2253,86
2245,84
95,83
1321,81
1648,80
2047,80
115,79
273,78
367,77
1737,76
2102,75
1739,74
249,73
839,73
701,72
1425,72
598,72
167,71
1489,71
530,71
213,70
959,69
1689,68
1288,67
1911,67
1446,66
540,66
2153,66
886,66
297,65
1283,65
1656,65
846,65
1706,64
539,64
1641,64
2211,64
427,64
1601,64
1967,63
1704,63
769,62
817,62
1541,62
1549,62
2223,61
2063,61
2321,61
2212,60
2261,60
2104,60
222,60
2431,59
963,59
2547,58
2579,58
2161,57
2406,57
1654,57
1646,56
2328,56
217,56
1457,55
2094,55
1700,55
404,55
437,55
73,55
140,55
1500,54
243,54
379,54
368,53
275,53
8,53
764,52
1293,52
365,52
2147,52
1507,52
1592,52
386,51
1481,51
1286,51
415,51
1715,50
1910,50
1780,50
1116,50
1019,50
79,50
325,50
67,50
908,50
356,49
1325,49
2046,49
765,49
2324,49
412,49
235,49
1673,49
1251,49
244,49
153,48
225,48
532,48
369,48
335,48
2150,47
65,47
2433,46
1955,46
1424,46
1746,46
147,46
2088,46
2250,46
470,46
1876,46
171,46
2398,46
257,45
2172,45
101,45
176,45
1508,45
2297,45
2498,45
494,44
252,44
2195,44
669,44
978,43
496,43
15,43
1539,43
1698,43
2664,43
1302,43
420,43
323,42
2052,42
465,42
7,42
2244,42
2538,42
1691,42
1255,42
18,42
1650,42
510,42
114,42
94,42
2144,42
1558,42
1054,41
2331,41
212,41
119,41
535,41
2199,41
533,41
411,41
1548,40
624,40
1510,40
1298,40
389,40
1543,40
1619,40
38,40
32,40
224,40
694,40
476,40
2107,40
1332,40
1494,40
472,39
2152,39
1762,39
1432,39
2558,39
548,39
401,39
385,39
1215,39
2222,39
2142,39
464,39
1400,39
1011,39
1551,39
696,39
2114,39
2196,38
1777,38
2003,38
1990,38
99,38
1037,38
2173,38
89,38
405,38
613,38
42,38
1879,37
432,37
970,37
1375,37
583,37
2106,37
188,37
93,37
466,37
191,37
2202,37
2474,37
426,37
439,37
2010,36
2203,36
366,36
2248,36
282,36
407,36
781,36
2044,36
2507,36
2348,36
1389,36
150,36
742,35
66,35
291,35
1377,35
1920,35
71,35
658,35
1120,35
2205,35
495,35
1593,34
1117,34
308,34
1115,34
1234,34
2357,34
1918,34
589,34
1562,34
1958,34
431,34
1129,34
105,34
102,34
941,34
1451,33
591,33
599,33
1905,33
1317,33
1873,33
1751,33
136,33
857,33
100,33
1045,33
2215,33
1793,33
1795,33
246,33
1237,33
1961,33
1136,33
2622,32
156,32
2343,32
2198,32
638,32
1544,32
2358,32
31,32
182,32
413,32
1166,32
165,32
410,32
1050,32
2124,32
61,32
2051,32
205,32
261,32
1992,31
2105,31
343,31
342,31
659,31
2168,31
1034,31
1397,31
338,31
2577,31
416,31
1756,31
2028,31
582,31
233,31
785,31
2403,31
512,31
1486,31
245,31
930,31
2056,31
331,31
1114,31
2345,31
1674,31
1301,31
2469,31
328,31
262,31
1727,31
844,31
2209,31
976,30
143,30
381,30
617,30
1227,30
469,30
28,30
1484,30
2101,30
1871,30
1791,30
663,30
2099,30
162,30
1707,30
183,30
2197,30
442,30
330,30
2092,30
1960,30
2157,29
549,29
58,29
4,29
499,29
403,29
91,29
654,29
2160,29
1620,29
1222,29
47,29
414,29
852,29
145,29
697,29
2103,29
321,29
180,29
2130,29
760,29
218,29
1132,29
215,28
319,28
440,28
223,28
2090,28
2200,28
1289,28
563,28
504,28
387,28
2162,28
34,28
314,28
30,28
1606,28
1694,28
1693,28
1303,28
2330,28
2683,28
1645,28
843,28
740,28
1130,28
1450,28
1939,28
732,28
1428,28
377,28
1493,28
1505,27
37,27
1726,27
371,27
97,27
892,27
625,27
316,27
1013,27
1567,27
2708,27
1135,27
1163,27
515,27
870,27
12,27
1447,27
2511,27
1422,27
2158,27
1875,27
2116,27
1536,27
524,27
2194,27
1378,27
1205,27
1867,27
1056,27
236,27
362,27
503,27
1792,27
2050,26
2054,26
2344,26
1740,26
2327,26
574,26
1659,26
1161,26
1297,26
16,26
1913,26
299,26
1435,26
1688,26
1891,26
1041,26
516,26
1287,26
1708,26
500,26
2465,26
108,26
1969,26
2156,26
2325,26
309,26
823,25
2485,25
802,25
772,25
2434,25
2459,25
632,25
2252,25
615,25
2576,25
1571,25
133,25
1396,25
1390,25
290,25
372,25
1319,25
1490,25
1495,25
376,25
2143,25
1146,25
1808,25
1555,25
1419,25
2551,25
2545,25
862,25
1658,25
2221,25
888,25
1696,25
258,25
927,25
1714,25
52,25
728,24
1316,24
1933,24
2471,24
1838,24
731,24
1392,24
158,24
1290,24
842,24
144,24
132,24
575,24
129,24
113,24
579,24
856,24
1755,24
2466,24
1535,24
1547,24
637,24
50,24
22,24
11,24
1953,24
1123,24
348,24
1138,24
329,24
2057,24
2624,24
952,24
375,24
295,24
824,24
388,24
345,24
2539,24
2653,24
901,24
281,24
1153,24
270,24
1989,24
471,24
868,24
1060,24
977,23
1006,23
2170,23
2422,23
939,23
1736,23
811,23
1568,23
2263,23
2181,23
1595,23
619,23
1499,23
2335,23
786,23
705,23
1232,23
1269,23
1224,23
1907,23
1902,23
2355,23
1324,23
2048,23
1391,23
776,23
1078,23
1794,23
2308,23
770,23
1235,23
2121,23
1462,23
1022,23
1249,23
2259,23
506,23
363,23
266,23
250,23
3009,23
13,23
477,23
552,23
502,23
551,23
2575,23
280,23
528,23
2470,23
96,23
479,23
545,23
1047,22
755,22
109,22
1032,22
1480,22
2145,22
1719,22
1076,22
1720,22
1353,22
2541,22
2254,22
960,22
841,22
1169,22
1239,22
78,22
1747,22
2227,22
847,22
1806,22
601,22
70,22
300,22
1452,22
735,22
274,22
1376,22
1381,22
456,22
1498,22
595,22
2453,22
854,22
1426,22
1515,22
2442,22
1850,22
1988,22
2084,22
585,22
1207,22
1744,22
1741,21
84,21
1124,21
2182,21
2191,21
767,21
284,21
195,21
211,21
1605,21
2807,21
1162,21
458,21
2208,21
1610,21
228,21
2513,21
2204,21
945,21
2722,21
2478,21
2468,21
2543,21
2693,21
2000,21
774,21
1882,21
989,21
1596,21
2409,21
2089,21
1642,21
2565,21
1862,21
1517,21
1845,21
1226,21
380,21
593,21
622,21
347,21
260,21
616,21
818,21
1502,21
1221,21
1661,21
891,21
958,21
673,21
116,21
853,21
571,21
1323,21
1437,21
1701,21
1745,21
406,21
1672,21
809,20
2483,20
256,20
2307,20
2482,20
864,20
2025,20
2475,20
508,20
1192,20
2246,20
56,20
514,20
484,20
1229,20
2333,20
541,20
1790,20
1167,20
531,20
247,20
60,20
1134,20
2334,20
1748,20
2060,20
1104,20
2167,20
1935,20
421,20
975,20
1881,20
981,20
578,20
2626,20
1361,20
1399,20
1005,20
1825,20
630,20
596,20
1035,20
1036,20
2549,20
1798,20
1312,20
1545,20
148,20
912,20
1928,20
2544,20
288,20
1612,20
306,19
1142,19
2148,19
1069,19
2093,19
1001,19
74,19
447,19
2573,19
454,19
2123,19
90,19
351,19
1150,19
1154,19
1749,19
124,19
2224,19
813,19
310,19
2233,19
318,19
1482,19
435,19
861,19
422,19
320,19
983,19
1488,19
1170,19
111,19
967,19
979,19
123,19
121,19
1442,19
1039,19
1267,19
1702,19
597,19
2691,19
237,19
131,19
229,19
35,19
749,19
1863,19
643,19
1929,19
736,19
1921,19
1352,19
577,19
24,19
1815,19
706,19
20,19
155,19
700,19
1329,19
154,19
192,19
2749,19
678,19
1663,19
685,19
2684,19
2383,19
254,19
2446,19
608,19
2508,18
650,18
1438,18
831,18
1358,18
670,18
354,18
699,18
419,18
568,18
799,18
1554,18
1968,18
1268,18
570,18
417,18
393,18
2024,18
1636,18
120,18
2273,18
1449,18
2499,18
1492,18
664,18
198,18
210,18
438,18
126,18
1837,18
450,18
1077,18
1974,18
1080,18
1632,18
2169,18
232,18
1579,18
1841,18
779,18
2004,18
2069,18
2264,18
1245,18
2295,18
483,18
241,18
1241,18
1189,18
1998,18
1590,18
1962,18
1314,18
402,18
2947,18
1444,18
1002,18
106,18
2464,18
1168,18
1789,18
631,18
428,18
1952,18
1599,18
1,18
2059,18
1954,18
1563,18
409,17
1082,17
674,17
184,17
1804,17
1326,17
1872,17
666,17
1043,17
169,17
104,17
2825,17
1649,17
1061,17
1839,17
629,17
1062,17
1497,17
1758,17
1854,17
2141,17
2582,17
1072,17
2416,17
1865,17
2410,17
361,17
2146,17
